longitude,latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,Speed_limit,Light_Conditions,Date,time of police
78.61039332,14.72402585,1,2,1,1,3,17:42,30,1,4/1/2018,
78.53404158,14.76235346,1,3,1,1,4,17:36,30,4,5/1/2018,
78.47087739,14.74560635,1,3,2,1,5,0:15,30,4,6/1/2018,
78.55799399,14.66712796,1,3,1,1,6,10:35,30,1,7/1/2018,
78.57643143,14.70344275,1,3,1,1,2,21:13,30,7,10/1/2018,
78.53105133,14.73735895,1,3,2,1,3,12:40,30,1,11/1/2018,
78.51672417,14.77949108,1,3,2,1,5,20:40,30,4,13-01-2018,
78.57055271,14.74135682,1,3,1,2,6,17:35,30,1,14-01-2018,
78.51020892,14.67901549,1,3,2,2,7,22:43,30,4,15-01-2018,
78.56704157,14.7992631,1,3,2,5,7,16:00,30,1,15-01-2018,
78.63085265,14.80453592,1,3,1,1,1,0:42,30,4,16-01-2018,
78.56039757,14.72807038,1,3,2,1,3,20:48,30,4,25-01-2018,
78.54800398,14.73695141,1,3,1,1,3,12:55,30,1,11/1/2018,
78.51510124,14.78661225,1,3,2,1,3,5:01,30,4,18-01-2018,
78.54884501,14.76177454,1,3,1,2,3,11:15,30,1,18-01-2018,
78.62517787,14.79778677,1,3,1,1,3,10:50,30,1,18-01-2018,
78.6056363,14.75023732,1,2,2,1,5,0:15,30,4,20-01-2018,
78.48561567,14.67274885,1,3,2,1,6,9:15,30,1,21-01-2018,
78.59611776,14.76982921,1,3,2,1,6,21:16,30,4,21-01-2018,
78.61996151,14.72219681,1,2,1,1,7,3:00,30,4,8/1/2018,
78.57722074,14.68993894,1,3,1,1,2,21:45,30,4,24-01-2018,
78.60244576,14.78535045,1,3,2,1,2,17:05,30,4,24-01-2018,
78.64223571,14.6911247,1,3,2,1,2,21:30,30,4,24-01-2018,
78.63018181,14.684316,1,3,2,1,3,17:25,30,4,18-01-2018,
