longitude,latitude,Number_of_Vehicles,Number_of_Casualties,Time,Speed_limit,Accident_Severity
53.4,169.0,35.5,86.8,5.07,185.1,4.0
110.3,104.9,45.2,74.7,11.51,51.0,3.0
18.3,109.6,6.9,90.0,12.10,132.2,1.0
113.8,137.0,41.2,89.5,11.15,108.6,4.0
46.9,120.4,9.2,45.9,19.71,64.3,3.0
14.3,140.3,21.9,90.1,7.83,70.7,3.0
41.4,89.7,38.9,98.1,6.19,21.5,1.0
17.2,118.9,13.9,16.9,7.64,6.6,4.0
105.5,128.4,16.5,7.9,1.08,193.0,2.0
64.2,65.5,18.5,5.3,11.16,153.2,4.0
46.9,138.9,50.0,92.7,13.13,100.4,2.0
111.5,79.8,15.3,73.3,13.20,24.1,3.0
7.3,60.1,19.4,78.1,13.88,121.7,4.0
51.1,184.7,34.8,93.6,12.50,49.3,3.0
76.0,50.9,39.8,66.4,20.93,60.1,2.0
79.0,45.7,14.5,52.0,5.26,64.0,2.0
67.9,32.6,40.6,81.3,14.49,43.7,1.0
65.2,59.4,44.9,5.0,15.70,64.7,2.0
34.3,149.3,19.9,83.2,6.41,181.0,3.0
92.7,101.7,25.5,66.6,19.62,53.2,3.0
57.9,15.6,24.8,52.6,19.76,94.9,4.0
109.2,165.0,21.7,84.4,16.28,16.4,2.0
111.3,147.4,49.1,76.5,18.69,70.0,3.0
29.2,106.0,27.7,9.3,9.40,145.6,2.0
10.3,70.3,41.6,18.3,6.92,92.1,3.0
83.0,189.7,14.4,31.4,8.09,192.3,2.0
32.7,93.3,18.0,50.4,10.14,180.7,2.0
112.4,72.4,19.0,28.1,1.46,38.9,2.0
120.7,69.8,38.5,41.8,22.27,193.0,2.0
68.4,51.0,14.2,28.0,11.87,179.6,2.0
53.9,123.1,13.2,50.4,2.66,118.2,3.0
121.5,111.8,48.2,2.7,15.43,104.4,2.0
38.5,94.2,34.9,22.0,21.69,150.8,2.0
120.5,86.4,47.3,71.6,4.27,45.9,2.0
85.2,173.4,32.6,98.1,17.78,16.4,4.0
117.5,100.0,6.6,30.0,7.46,22.8,4.0
109.5,111.7,7.2,55.3,10.66,34.5,1.0
76.1,79.3,8.5,84.2,11.80,184.1,3.0
108.0,118.8,12.6,48.0,3.91,32.6,3.0
83.9,163.7,27.2,39.3,1.74,18.3,1.0
66.9,128.4,4.0,4.8,13.81,195.0,3.0
83.5,49.6,3.4,28.9,20.30,154.0,4.0
63.7,107.9,12.5,25.7,2.72,33.9,2.0
104.4,139.5,46.2,41.4,9.77,199.9,1.0
44.3,152.8,28.0,76.6,2.08,164.7,3.0
32.3,94.4,38.1,8.2,10.58,64.0,1.0
28.7,39.8,10.4,2.5,11.45,66.1,3.0
20.4,64.0,42.7,60.1,14.48,34.7,3.0
115.4,188.9,44.0,13.8,6.79,117.3,3.0
50.1,44.7,10.7,89.6,22.06,112.4,2.0
118.0,45.0,30.1,99.4,20.54,17.7,3.0
29.2,138.2,11.7,7.2,21.45,150.4,1.0
67.6,17.1,33.5,97.7,11.65,40.5,2.0
81.4,135.3,12.9,92.5,22.26,109.3,4.0
88.9,141.6,48.4,75.3,8.28,114.9,1.0
98.2,71.2,5.2,99.2,19.50,47.6,3.0
105.8,178.9,47.9,72.6,23.91,80.4,1.0
97.2,181.5,10.1,13.7,8.23,100.4,4.0
73.3,167.0,49.4,65.5,16.25,111.3,2.0
98.6,141.0,40.3,1.0,3.65,34.6,2.0
109.4,113.8,12.5,54.8,21.88,167.1,1.0
56.0,123.4,46.5,82.7,11.23,57.2,3.0
91.8,81.1,23.7,99.6,17.80,8.5,1.0
42.5,33.3,10.8,76.0,9.42,192.3,2.0
109.3,112.0,14.5,99.2,23.67,167.6,2.0
52.8,151.3,41.7,10.5,14.14,133.0,4.0
87.0,53.4,38.7,93.9,1.52,6.3,1.0
60.7,116.7,41.7,35.4,13.03,44.8,2.0
110.5,101.7,36.8,1.9,23.67,16.1,2.0
90.0,100.3,34.0,32.7,20.24,126.2,1.0
68.2,187.4,41.7,84.1,11.41,17.4,2.0
16.9,136.2,28.5,23.4,2.27,68.6,4.0
19.5,57.9,46.6,21.8,4.16,109.6,3.0
5.2,46.7,39.2,92.5,0.31,108.9,1.0
122.6,103.5,36.9,8.4,10.79,116.2,1.0
51.2,14.4,2.7,55.0,13.87,111.2,3.0
36.6,34.6,13.8,5.3,7.76,179.6,1.0
20.2,168.1,31.8,51.8,2.04,24.1,3.0
55.0,40.4,4.4,25.2,13.05,145.8,1.0
35.2,114.3,3.0,77.8,16.58,148.2,2.0
99.6,156.4,2.6,21.4,0.43,131.8,4.0
23.6,116.9,27.4,39.2,20.53,162.7,2.0
97.8,93.7,33.9,9.2,17.28,77.8,3.0
23.6,110.1,1.5,39.3,7.64,96.9,2.0
84.6,19.0,25.8,28.2,13.98,156.5,4.0
7.4,23.5,41.0,37.1,21.94,36.6,3.0
58.9,111.3,40.7,100.5,18.68,132.8,4.0
122.6,77.8,11.3,15.2,0.19,68.8,2.0
64.5,176.9,49.7,7.8,18.13,47.3,1.0
95.7,176.8,42.1,48.2,4.65,81.9,2.0
97.7,118.6,40.6,26.7,7.54,82.3,4.0
23.4,12.2,46.3,67.7,14.77,172.2,3.0
51.9,120.1,13.5,11.4,14.16,194.6,2.0
56.9,99.6,22.1,4.8,14.21,177.4,2.0
63.1,92.6,16.9,29.3,5.55,115.8,4.0
116.4,163.9,41.0,77.5,17.96,103.2,4.0
